Title,Release Year,Genre,Runtime,Rating,Votes
Oppenheimer,2023," Biography, Drama, History            ",180 min,8.6,"437,656"
Spider-Man: Across the Spider-Verse,2023," Animation, Action, Adventure            ",140 min,8.7,"261,621"
Guardians of the Galaxy Vol. 3,2023," Action, Adventure, Comedy            ",150 min,7.9,"318,467"
Mission: Impossible - Dead Reckoning Part One,2023," Action, Adventure, Thriller            ",163 min,7.9,"138,891"
The Batman,2022," Action, Crime, Drama            ",176 min,7.8,"731,386"
John Wick: Chapter 4,2023," Action, Crime, Thriller            ",169 min,7.8,"275,270"
Interstellar,2014," Adventure, Drama, Sci-Fi            ",169 min,8.7,"1,989,245"
The Godfather,1972," Crime, Drama            ",175 min,9.2,"1,950,531"
The Shawshank Redemption,1994, Drama            ,142 min,9.3,"2,799,566"
The Dark Knight,2008," Action, Crime, Drama            ",152 min,9.0,"2,780,898"
The Exorcist,1973, Horror            ,122 min,8.1,"431,753"
The Wolf of Wall Street,2013," Biography, Comedy, Crime            ",180 min,8.2,"1,508,030"
Harry Potter and the Sorcerer's Stone,2001," Adventure, Family, Fantasy            ",152 min,7.6,"824,688"
Stand by Me,1986," Adventure, Comedy, Drama            ",89 min,8.1,"426,508"
Dune: Part One,2021," Action, Adventure, Drama            ",155 min,8.0,"715,915"
Inception,2010," Action, Adventure, Sci-Fi            ",148 min,8.8,"2,468,670"
Everything Everywhere All at Once,2022," Action, Adventure, Comedy            ",139 min,7.8,"479,004"
Inglourious Basterds,2009," Adventure, Drama, War            ",153 min,8.3,"1,525,017"
The Whale,2022, Drama            ,117 min,7.7,"178,570"
Raiders of the Lost Ark,1981," Action, Adventure            ",115 min,8.4,"1,013,228"
Pulp Fiction,1994," Crime, Drama            ",154 min,8.9,"2,147,383"
The Big Short,2015," Biography, Comedy, Drama            ",130 min,7.8,"462,722"
Once Upon a Time in... Hollywood,2019," Comedy, Drama            ",161 min,7.6,"800,654"
Titanic,1997," Drama, Romance            ",194 min,7.9,"1,246,916"
Joker,I 2019," Crime, Drama, Thriller            ",122 min,8.4,"1,401,683"
Top Gun: Maverick,2022," Action, Drama            ",130 min,8.3,"630,431"
Arrival,II 2016," Drama, Mystery, Sci-Fi            ",116 min,7.9,"736,952"
Goodfellas,1990," Biography, Crime, Drama            ",145 min,8.7,"1,214,829"
Jurassic Park,1993," Action, Adventure, Sci-Fi            ",127 min,8.2,"1,034,656"
Jaws,1975," Adventure, Mystery, Thriller            ",124 min,8.1,"639,869"
The Deer Hunter,1978," Drama, War            ",183 min,8.1,"352,043"
Wind River,2017," Crime, Drama, Mystery            ",107 min,7.7,"268,110"
The Lord of the Rings: The Fellowship of the Ring,2001," Action, Adventure, Drama            ",178 min,8.8,"1,945,011"
Se7en,1995," Crime, Drama, Mystery            ",127 min,8.6,"1,733,649"
Alien,1979," Horror, Sci-Fi            ",117 min,8.5,"919,286"
Fight Club,1999, Drama            ,139 min,8.8,"2,233,333"
Gladiator,2000," Action, Adventure, Drama            ",155 min,8.5,"1,562,995"
Mad Max: Fury Road,2015," Action, Adventure, Sci-Fi            ",120 min,8.1,"1,048,481"
Heat,1995," Action, Crime, Drama            ",170 min,8.3,"692,981"
Blade Runner 2049,2017," Action, Drama, Mystery            ",164 min,8.0,"623,803"
Back to the Future,1985," Adventure, Comedy, Sci-Fi            ",116 min,8.5,"1,263,526"
The Silence of the Lambs,1991," Crime, Drama, Thriller            ",118 min,8.6,"1,493,906"
Gone Girl,2014," Drama, Mystery, Thriller            ",149 min,8.1,"1,029,656"
No Country for Old Men,2007," Crime, Drama, Thriller            ",122 min,8.2,"1,022,783"
Prisoners,2013," Crime, Drama, Mystery            ",153 min,8.1,"770,220"
Pirates of the Caribbean: The Curse of the Black Pearl,2003," Action, Adventure, Fantasy            ",143 min,8.1,"1,174,225"
The Dark Knight Rises,2012," Action, Drama, Thriller            ",164 min,8.4,"1,776,357"
Hacksaw Ridge,2016," Biography, Drama, History            ",139 min,8.1,"567,258"
The Prestige,2006," Drama, Mystery, Sci-Fi            ",130 min,8.5,"1,396,591"
Gisaengchung,2019," Drama, Thriller            ",132 min,8.5,"888,155"
